Date,West,Midwest,South,Northeast
201306,3.05,3.05,3.13,3.09
201307,4.00,3.00,3.27,3.00
201308,3.82,3.38,3.94,3.03
201309,3.63,3.00,3.57,3.53
201310,3.10,3.03,3.24,3.26
201311,3.35,3.00,3.46,3.03
201312,3.16,3.00,3.40,3.10
201401,3.23,3.00,3.05,3.00
201402,3.05,3.05,3.10,3.02
201403,3.99,3.05,3.31,3.00
201404,4.49,3.03,3.57,3.00
201405,3.50,3.20,3.09,3.00
201406,3.56,3.08,3.23,3.16
201407,3.24,3.00,3.19,3.25
201408,3.20,3.00,3.00,2.98
201409,3.19,3.00,3.00,3.00
201410,3.00,3.00,3.00,3.00
201411,3.26,3.00,3.00,3.05
201412,2.97,3.00,2.88,3.02
201501,2.96,2.81,3.00,2.80
201502,2.86,2.81,2.86,2.62
201503,3.00,2.61,2.83,2.88
201504,2.96,2.71,2.78,2.42
201505,2.98,2.91,2.81,2.97
201506,3.00,3.00,3.00,3.00
201507,3.00,2.99,2.96,2.61
201508,2.97,3.00,2.98,1.75
201509,2.98,2.50,2.82,2.35
201510,2.78,2.99,3.00,2.30
201511,2.75,2.87,2.35,2.42
201512,2.45,2.80,2.69,2.19
201601,2.51,2.43,2.35,2.31
201602,2.80,2.86,2.97,2.16
201603,2.36,2.62,2.96,2.10
201604,2.72,2.54,2.81,2.28
201605,2.59,2.54,3.00,2.21
201606,2.53,2.50,2.58,2.71
201607,2.61,2.50,2.42,2.67
201608,2.59,2.83,2.74,2.84
201609,2.44,2.83,2.31,2.32
201610,2.47,2.50,2.49,2.81
201611,2.56,2.79,2.11,2.93
201612,3.00,2.76,2.68,2.83
201701,2.98,2.89,2.85,3.00
201702,2.88,3.00,2.98,2.74
201703,2.92,2.67,2.61,2.74
201704,3.00,2.54,2.70,2.74
201705,2.88,2.42,2.48,2.29
201706,3.00,2.45,2.22,2.44
201707,2.98,2.04,2.54,2.40
201708,2.70,2.21,2.54,2.19
201709,2.88,2.42,2.48,2.38
201710,2.74,2.54,2.62,2.45
201711,2.79,2.42,2.62,2.59
201712,3.00,2.81,2.79,2.41
201801,3.00,2.47,2.74,2.52
201802,2.99,2.50,2.77,2.92
201803,3.00,2.71,2.59,2.97
201804,3.00,2.97,2.98,2.98
201805,2.98,2.98,3.00,2.63
201806,3.00,2.94,2.97,2.98
201807,3.00,3.00,2.85,2.98
201808,3.00,3.00,2.97,3.00
201809,3.00,2.98,2.98,2.97
201810,3.19,3.00,2.99,3.00
201811,2.99,2.98,2.92,2.97
201812,3.02,2.98,3.00,3.00
201901,3.00,2.68,3.00,2.81
201902,3.00,2.79,2.61,2.68
201903,3.00,2.67,2.83,2.45
201904,2.69,2.21,2.66,2.66
201905,2.83,2.45,2.23,2.45
201906,2.45,2.36,2.79,2.98
201907,2.46,2.59,2.64,2.71
201908,2.31,2.33,2.19,2.54
201909,2.43,2.42,2.40,2.65
201910,2.40,2.00,2.21,2.61
201911,2.67,2.00,2.19,2.76
201912,2.59,2.37,2.69,2.45
202001,2.37,2.41,2.73,2.45
202002,2.76,2.33,2.68,2.19
202003,2.72,2.19,3.00,1.20
202004,2.59,2.21,3.00,2.21
202005,3.00,2.74,3.18,2.85
202006,2.83,2.50,2.79,2.54
202007,2.10,2.89,2.96,2.96
202008,2.93,2.89,3.00,3.00
202009,2.86,2.62,2.98,3.18
202010,2.73,2.81,2.94,2.74
202011,2.59,2.62,3.05,3.00
202012,3.00,3.00,3.05,3.23
202101,2.98,3.05,2.98,3.79
202102,3.30,3.00,3.00,3.48
202103,3.08,3.63,3.22,3.30
202104,3.10,3.38,3.38,3.63
202105,4.54,3.59,4.39,3.63
202106,5.10,4.95,4.80,3.41
202107,4.53,5.34,5.08,4.00
202108,5.57,5.87,4.91,4.57
202109,5.38,5.98,5.36,4.37
202110,5.42,6.00,5.87,5.00
202111,5.76,6.18,6.00,5.71
202112,6.00,6.00,6.00,5.08
202201,5.25,5.92,5.87,5.87
202202,5.67,5.93,6.41,5.94
202203,6.20,6.22,7.24,6.34
202204,6.45,6.17,6.58,6.20
202205,6.30,6.47,6.63,7.87
202206,6.56,6.58,7.26,6.25
202207,6.03,6.03,6.69,6.21
202208,5.90,5.21,6.00,5.46
202209,5.09,5.44,5.45,5.51
202210,5.90,5.94,6.00,5.69
202211,5.08,5.25,5.11,5.49
202212,5.24,4.06,5.57,4.76
202301,5.08,4.00,5.58,4.74
202302,3.79,3.77,5.00,4.33
202303,4.81,4.53,5.19,4.36
202304,4.35,3.83,5.27,4.45
202305,4.12,4.00,4.61,4.00
202306,3.55,4.00,3.75,4.00
202307,3.90,3.00,3.57,3.75
202308,3.08,3.21,4.38,3.13
202309,3.63,3.97,3.81,3.29
202310,3.81,3.83,3.40,3.55
202311,3.24,3.30,3.26,4.00
202312,3.09,3.16,3.00,3.00
202401,3.00,3.00,3.05,3.14
202402,3.00,3.05,3.00,3.23
202403,3.03,3.00,3.02,3.00
202404,3.07,3.00,3.53,3.44
202405,3.05,3.31,3.06,3.40
202406,3.02,3.10,3.00,3.22
202407,2.97,2.49,3.00,3.00
202408,3.00,2.88,2.98,3.05
202409,2.98,2.82,3.00,3.02
202410,3.00,2.59,2.76,3.00
202411,3.39,2.97,2.61,3.05
202412,3.55,2.87,2.89,3.00
202501,3.57,2.98,3.00,2.62
202502,3.46,3.17,3.00,3.00
202503,4.00,3.70,3.37,3.19
202504,4.12,3.81,3.08,3.96
